title,company,company_size,industry,type,salary,company_type,source,experience,education,salary2
数据模型分析师（急）(北京中佳信科技发展有限公司),北京中佳信科技发展有限公司,100-499人,能源/采掘/化工/环保,全职,20000-25000,民营,猎聘,3-5年,硕士,22500.0
财务分析师(某知名大数据分析服务公司),某知名大数据分析服务公司,100-499人,财务/人力资源/行政,全职,12000-20000,民营,猎聘,5-10年,本科,16000.0
商业分析师（数据方向）(武汉小药药医药科技有限公司),武汉小药药医药科技有限公司,2000-5000人,数据分析师,全职,12000-20000,民营,猎聘,5-10年,本科,16000.0
高级数据分析工程师(华远智德(北京)科技有限公司),华远智德(北京)科技有限公司,,系统工程师,全职,8000-12000,民营,猎聘,3-5年,本科,10000.0
高级财务分析师-数据方向(宜信公司),普信恒业科技发展(北京)有限公司,10000人以上,财务/人力资源/行政,全职,12000-20000,民营,猎聘,5-10年,本科,16000.0
数据分析工程师(001379)(北汽福田),北汽福田汽车股份有限公司,10000人以上,制药/医疗,全职,8000-12000,上市公司,猎聘,3-5年,本科,10000.0
数据分析工程师(北京亮道智能汽车技术有限公司),北京亮道智能汽车技术有限公司,50-99人,数据分析师,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析高级工程师(J14651)(金风科技),新疆金风科技股份有限公司,5000-10000人,IT/互联网,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
战略分析师(北京沃丰时代数据科技有限公司),北京沃丰时代数据科技有限公司,100-499人,市场/公关,全职,12000-20000,民营,猎聘,3-5年,本科,16000.0
数据分析工程师（应届生户口）(北京泰豪智能工程有限公司),北京泰豪智能工程有限公司,2000-5000人,IT/互联网,全职,5000-8000,民营,猎聘,不限,硕士,6500.0
数据分析工程师(欣旺达),欣旺达电子股份有限公司,10000人以上,IT/互联网,全职,12000-20000,上市公司,猎聘,1-3年,硕士,16000.0
数据分析挖掘工程师(深圳索信达数据技术有限公司),深圳索信达数据技术有限公司,100-499人,数据分析师,全职,20000-25000,外商独资/办事处,猎聘,3-5年,本科,22500.0
数据分析开发工程师 (MJ000363)(水滴公司),北京纵情向前科技有限公司,2000-5000人,Java,全职,20000-25000,民营,猎聘,3-5年,不限,22500.0
数据分析建模工程师(北京羽实箫恩信息技术股份有限公司),北京羽实箫恩信息技术股份有限公司,50-99人,IT/互联网,全职,8000-12000,民营,猎聘,1-3年,大专,10000.0
数据模型分析师(马上消费金融股份有限公司),马上消费金融股份有限公司,2000-5000人,风险控制,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
数据分析工程师0420(米图维(上海)商务咨询有限公司),米图维(上海)商务咨询有限公司,,IT/互联网,全职,8000-12000,中外合资/合作,猎聘,1-3年,硕士,10000.0
高级数据服务需求分析师(北京中科恒硕科技有限公司),北京中科恒硕科技有限公司,50-99人,IT/互联网,全职,25000以上,民营,猎聘,10年以上,本科,25000.0
数据分析工程师(捷越),北京捷越联合信息咨询有限公司,5000-10000人,数据库开发工程师,全职,20000-25000,民营,猎聘,5-10年,本科,22500.0
行业分析师（数据统计）(北京易二零环境股份有限公司),北京易二零环境股份有限公司,100-499人,情报信息分析师,全职,5000-8000,上市公司,猎聘,不限,硕士,6500.0
数据分析挖掘工程师(中国移动通信有限公司研究院),中国移动通信有限公司研究院,500-999人,数据挖掘工程师,全职,面议,国企,猎聘,1-3年,硕士,
数据分析建模工程师(国网商用大数据有限公司),国网商用大数据有限公司,50-99人,IT/互联网,全职,面议,民营,猎聘,3-5年,本科,
大数据分析工程师(国网商用大数据有限公司),国网商用大数据有限公司,50-99人,数据分析师,全职,面议,民营,猎聘,3-5年,本科,
数据分析工程师(北京锦鸿希电信息技术股份有限公司),北京锦鸿希电信息技术股份有限公司,100-499人,咨询/法律/翻译/商标/专利,全职,8000-12000,民营,猎聘,不限,硕士,10000.0
算法和数据分析高级工程师(新奥能源服务有限公司),新奥能源服务有限公司,500-999人,算法工程师,全职,面议,民营,猎聘,1-3年,本科,
数据分析工程师(中云智慧科技),中云智慧(北京)科技有限公司,100-499人,IT/互联网,全职,5000-8000,民营,猎聘,不限,本科,6500.0
数据分析工程师(光大科技有限公司),光大科技有限公司,100-499人,数据分析师,全职,面议,国企,猎聘,3-5年,本科,
建设工程数据分析工程师 (MJ000893)(广联达),广联达科技股份有限公司,2000-5000人,房地产成本经理/主管,全职,20000-25000,上市公司,猎聘,5-10年,本科,22500.0
商业分析师(北京超盟数据科技有限公司),北京超萌国际文化有限公司,50-99人,数据分析师,全职,20000-25000,民营,猎聘,5-10年,本科,22500.0
财务分析师(某互联网大数据企业),某互联网大数据企业,100-499人,财务/人力资源/行政,全职,12000-20000,民营,猎聘,1-3年,本科,16000.0
